Division,Event_Unique_Id,Homicide_Type,Hood_ID,Neighbourhood,ObjectId,Occurrence_Date,Occurrence_year,_id,geometry
D41,863854,Other,121,Oakridge (121),102,2005-07-17T00:00:00,2005,102,"{'type': 'Point', 'coordinates': (-79.27249386000001, 43.69462352)}"
D12,1059962,Shooting,111,Rockcliffe-Smythe (111),103,2005-07-19T00:00:00,2005,103,"{'type': 'Point', 'coordinates': (-79.48210041, 43.68063272)}"
D33,1070618,Other,45,Parkwoods-Donalda (45),104,2005-07-20T00:00:00,2005,104,"{'type': 'Point', 'coordinates': (-79.32580754, 43.74336928000001)}"
D42,1150352,Other,136,West Hill (136),105,2005-07-15T00:00:00,2005,105,"{'type': 'Point', 'coordinates': (-79.19164051, 43.769822180000006)}"
D31,1135001,Shooting,32,Englemount-Lawrence (32),106,2005-07-30T00:00:00,2005,106,"{'type': 'Point', 'coordinates': (-79.44098195, 43.72012757)}"
D42,1033503,Shooting,117,L'Amoreaux (117),107,2005-07-30T00:00:00,2005,107,"{'type': 'Point', 'coordinates': (-79.31572385, 43.79677275)}"
D41,3575026,Other,120,Clairlea-Birchmount (120),108,2009-09-12T00:00:00,2009,108,"{'type': 'Point', 'coordinates': (-79.27262563, 43.71756532)}"
D14,3528405,Shooting,85,South Parkdale (85),109,2009-10-10T00:00:00,2009,109,"{'type': 'Point', 'coordinates': (-79.43474242, 43.63395219)}"
D51,3464087,Other,75,Church-Yonge Corridor (75),110,2009-10-18T00:00:00,2009,110,"{'type': 'Point', 'coordinates': (-79.37720552, 43.6506687)}"
D31,3524643,Shooting,27,York University Heights (27),111,2009-10-18T00:00:00,2009,111,"{'type': 'Point', 'coordinates': (-79.48755122, 43.74960771)}"
D13,3425603,Shooting,94,Wychwood (94),112,2009-10-30T00:00:00,2009,112,"{'type': 'Point', 'coordinates': (-79.4309448, 43.67472274)}"
D54,3588501,Shooting,67,Playter Estates-Danforth (67),113,2009-11-02T00:00:00,2009,113,"{'type': 'Point', 'coordinates': (-79.34633792, 43.67940557)}"
D31,3454028,Shooting,27,York University Heights (27),114,2009-11-03T00:00:00,2009,114,"{'type': 'Point', 'coordinates': (-79.49868708, 43.75143236)}"
