Division,Homicide_Type,Hood_ID,Neighbourhood,Occurrence_Date,Occurrence_year
D51,Other,75,Church-Yonge Corridor (75),2011-01-23T00:00:00Z,2011
D12,Shooting,30,Brookhaven-Amesbury (30),2010-02-07T00:00:00Z,2010
D31,Shooting,22,Humbermede (22),2011-02-01T00:00:00Z,2011
D31,Stabbing,27,York University Heights (27),2011-02-05T00:00:00Z,2011
D12,Shooting,112,Beechborough-Greenbrook (112),2011-02-11T00:00:00Z,2011
D43,Shooting,137,Woburn (137),2011-02-11T00:00:00Z,2011
D12,Shooting,113,Weston (113),2011-02-16T00:00:00Z,2011
D42,Shooting,132,Malvern (132),2011-02-26T00:00:00Z,2011
D11,Shooting,114,Lambton Baby Point (114),2011-03-02T00:00:00Z,2011
D14,Other,93,Dovercourt-Wallace Emerson-Junction (93),2011-03-03T00:00:00Z,2011
D23,Shooting,6,Kingsview Village-The Westway (6),2011-03-20T00:00:00Z,2011
D11,Other,85,South Parkdale (85),2011-03-21T00:00:00Z,2011
D41,Shooting,124,Kennedy Park (124),2011-03-28T00:00:00Z,2011
D55,Shooting,63,The Beaches (63),2011-03-28T00:00:00Z,2011
D31,Other,27,York University Heights (27),2011-04-15T00:00:00Z,2011
D54,Other,66,Danforth (66),2011-04-06T00:00:00Z,2011
D23,Shooting,1,West Humber-Clairville (1),2011-04-30T00:00:00Z,2011
D42,Shooting,46,Pleasant View (46),2011-05-26T00:00:00Z,2011
D31,Shooting,28,Rustic (28),2010-02-08T00:00:00Z,2010
D23,Shooting,1,West Humber-Clairville (1),2011-05-29T00:00:00Z,2011
D55,Other,70,South Riverdale (70),2010-02-15T00:00:00Z,2010
D43,Other,138,Eglinton East (138),2010-02-14T00:00:00Z,2010
D31,Shooting,25,Glenfield-Jane Heights (25),2011-06-16T00:00:00Z,2011
D33,Stabbing,43,Victoria Village (43),2011-07-01T00:00:00Z,2011
D43,Stabbing,139,Scarborough Village (139),2011-07-22T00:00:00Z,2011
D22,Shooting,14,Islington-City Centre West (14),2011-07-29T00:00:00Z,2011
D12,Other,115,Mount Dennis (115),2011-07-29T00:00:00Z,2011
D12,Shooting,115,Mount Dennis (115),2011-07-31T00:00:00Z,2011
D31,Stabbing,26,Downsview-Roding-CFB (26),2011-08-10T00:00:00Z,2011
D31,Shooting,26,Downsview-Roding-CFB (26),2011-08-20T00:00:00Z,2011
D32,Shooting,33,Clanton Park (33),2011-08-23T00:00:00Z,2011
D11,Shooting,114,Lambton Baby Point (114),2011-08-27T00:00:00Z,2011
D43,Other,137,Woburn (137),2011-09-11T00:00:00Z,2011
D41,Shooting,120,Clairlea-Birchmount (120),2011-09-17T00:00:00Z,2011
D14,Shooting,81,Trinity-Bellwoods (81),2011-10-02T00:00:00Z,2011
D43,Shooting,136,West Hill (136),2010-03-11T00:00:00Z,2010
D54,Shooting,43,Victoria Village (43),2011-10-09T00:00:00Z,2011
D54,Shooting,61,Taylor-Massey (61),2011-10-14T00:00:00Z,2011
D41,Other,119,Wexford/Maryvale (119),2010-03-13T00:00:00Z,2010
D31,Shooting,24,Black Creek (24),2011-10-15T00:00:00Z,2011
D22,Shooting,13,Etobicoke West Mall (13),2011-10-21T00:00:00Z,2011
D31,Shooting,26,Downsview-Roding-CFB (26),2011-10-28T00:00:00Z,2011
D11,Other,87,High Park-Swansea (87),2010-04-04T00:00:00Z,2010
D55,Shooting,70,South Riverdale (70),2011-11-29T00:00:00Z,2011
D32,Stabbing,50,Newtonbrook East (50),2011-12-02T00:00:00Z,2011
D32,Stabbing,39,Bedford Park-Nortown (39),2011-12-03T00:00:00Z,2011
D51,Other,73,Moss Park (73),2010-04-28T00:00:00Z,2010
D43,Shooting,137,Woburn (137),2011-12-30T00:00:00Z,2011
D14,Stabbing,78,Kensington-Chinatown (78),2011-12-31T00:00:00Z,2011
D51,Other,72,Regent Park (72),2011-12-26T00:00:00Z,2011
D12,Other,113,Weston (113),2011-12-02T00:00:00Z,2011
D42,Other,132,Malvern (132),2011-02-19T00:00:00Z,2011
D13,Shooting,107,Oakwood Village (107),2010-05-03T00:00:00Z,2010
D42,Stabbing,117,L'Amoreaux (117),2010-05-10T00:00:00Z,2010
D12,Shooting,110,Keelesdale-Eglinton West (110),2010-05-17T00:00:00Z,2010
D12,Other,30,Brookhaven-Amesbury (30),2010-05-31T00:00:00Z,2010
D42,Shooting,120,Clairlea-Birchmount (120),2012-01-01T00:00:00Z,2012
D14,Stabbing,82,Niagara (82),2012-01-01T00:00:00Z,2012
